Selected,Zip,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,DisbursementGross,BalanceGross,GrAppv,SBA_Appv,New,RealEstate,Portion,Recession,daysterm,Default
1,91502,28,1,1,0,1,1,1,58945,0,15000,7500,0,0,0.5,0,840,1
1,93604,84,30,1,1,30,1,2,50000,0,50000,25000,0,0,0.5,0,2520,0
1,91221,39,3,1,1,4,1,1,116007,0,40000,20000,0,0,0.5,0,1170,1
1,94070,84,6,1,0,6,1,1,64000,0,50000,25000,0,0,0.5,0,2520,0
0,92879,60,2,1,0,2,1,1,60000,0,60000,30000,0,0,0.5,0,1800,0
0,94526,84,4,1,0,4,1,1,58602,0,50000,25000,0,0,0.5,0,2520,0
0,92115,119,3,1,0,0,1,0,100000,0,100000,80000,0,0,0.8,0,3570,0
1,90210,84,2,1,1,2,1,1,19700,0,10000,5000,0,0,0.5,0,2520,0
1,90305,68,4,1,0,4,1,1,45018,0,45000,22500,0,0,0.5,0,2040,1
1,93010,84,5,1,0,5,1,1,67597,0,50000,25000,0,0,0.5,0,2520,0
1,94546,18,1,1,0,1,1,1,13107,0,10000,5000,0,0,0.5,0,540,1
0,92807,240,345,1,20,0,1,1,568000,0,568000,568000,0,1,1,0,7200,0
1,91301,47,7,1,0,7,1,1,100000,0,100000,50000,0,0,0.5,1,1410,1
1,92056,240,7,1,13,7,1,0,357000,0,357000,357000,0,1,1,0,7200,0
1,91311,84,1,1,0,1,1,1,14900,0,10000,5000,0,0,0.5,0,2520,0
0,92807,42,4,1,0,4,1,1,33500,0,22000,11000,0,0,0.5,1,1260,1
1,92130,33,2,1,1,2,1,1,100000,0,100000,50000,0,0,0.5,1,990,1
1,90036,57,9,1,1,9,1,1,50000,0,50000,25000,0,0,0.5,0,1710,1
0,94588,84,1,2,0,1,37481,1,10000,0,10000,5000,1,0,0.5,0,2520,0
1,91607,36,30,1,0,30,1,1,10000,0,10000,5000,0,0,0.5,1,1080,0
0,90504,30,16,1,0,16,1,1,81937,0,60000,30000,0,0,0.5,0,900,1
0,91914,84,2,2,0,2,1,1,10000,0,10000,5000,1,0,0.5,0,2520,0
0,92173,84,4,1,2,4,1,1,35000,0,35000,17500,0,0,0.5,0,2520,0
0,90274,84,4,1,1,4,1,1,139892,0,47900,23950,0,0,0.5,0,2520,0
0,90006,300,5,1,0,0,1,0,504000,0,504000,378000,0,1,0.75,0,9000,0
0,92649,71,12,1,0,12,1,1,50000,0,50000,25000,0,0,0.5,0,2130,1
0,92101,29,18,1,0,18,1,1,50000,0,50000,25000,0,0,0.5,0,870,1
0,90016,73,6,1,1,6,1,1,82804,0,50000,25000,0,0,0.5,0,2190,1
0,90242,42,5,1,12,5,1,1,35000,0,35000,17500,0,0,0.5,1,1260,1
0,91030,84,12,1,3,12,1,1,111500,0,90000,45000,0,0,0.5,0,2520,0
0,91780,84,5,1,3,5,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
1,94706,84,1,1,0,0,1,1,48449,0,50000,40000,0,0,0.8,0,2520,0
0,94115,240,6,1,5,0,1,1,557000,0,557000,557000,0,1,1,0,7200,0
1,91789,43,3,1,2,3,1,1,46003,0,35000,17500,0,0,0.5,1,1290,1
0,94519,268,5,1,3,8,1,1,394200,0,394200,295650,0,1,0.75,0,8040,1
0,92108,11,2,1,0,2,1,1,93595,0,50000,25000,0,0,0.5,0,330,1
1,93906,33,1,2,0,1,1,1,12970,0,10000,5000,1,0,0.5,1,990,0
0,91606,84,4,1,0,4,1,2,28500,0,28500,14250,0,0,0.5,0,2520,0
1,92612,43,2,1,0,2,1,1,25000,0,25000,12500,0,0,0.5,1,1290,1
1,91201,84,4,1,0,4,1,1,79500,0,50000,25000,0,0,0.5,0,2520,0
1,90010,32,1,1,0,1,1,1,25000,0,25000,12500,0,0,0.5,1,960,1
1,95521,23,6,1,0,6,1,1,75000,0,75000,37500,0,0,0.5,0,690,1
0,92084,240,34,1,6,34,1,1,914000,0,914000,914000,0,1,1,0,7200,0
1,92627,84,6,1,0,6,1,1,30000,0,30000,15000,0,0,0.5,0,2520,0
1,91342,58,1,1,0,1,1,1,35000,0,35000,17500,0,0,0.5,0,1740,1
0,91364,36,3,1,0,3,1,1,187000,0,100000,50000,0,0,0.5,1,1080,1
0,92411,63,12,1,0,12,1,1,50000,0,50000,25000,0,0,0.5,0,1890,1
1,95337,41,1,1,1,1,1,1,51751,0,30000,15000,0,0,0.5,0,1230,1
1,90211,84,3,2,0,3,1,1,50000,0,50000,25000,1,0,0.5,0,2520,0
1,93611,300,6,1,0,0,1,0,302000,0,302000,226500,0,1,0.75,0,9000,0
1,90266,84,80,1,0,80,1,1,50000,0,50000,25000,0,0,0.5,0,2520,0
1,95678,55,3,1,0,3,1,1,109000,0,50000,25000,0,0,0.5,0,1650,1
0,91601,84,1,1,0,1,1,1,92446,0,31000,15500,0,0,0.5,0,2520,0
0,94523,84,6,1,0,6,1,1,55000,0,50000,25000,0,0,0.5,0,2520,0
1,91709,41,2,1,0,2,1,1,81475,0,52500,26250,0,0,0.5,1,1230,1
0,92101,84,5,1,1,5,0,1,93000,0,50000,25000,0,0,0.5,0,2520,0
1,92553,36,5,1,0,5,0,1,20000,0,20000,10000,0,0,0.5,1,1080,0
0,91776,84,3,1,3,3,0,1,69500,0,50000,25000,0,0,0.5,0,2520,0
0,95010,53,2,1,2,2,0,1,44750,0,25000,12500,0,0,0.5,0,1590,1
0,92549,84,5,2,0,5,0,1,21500,0,10000,5000,1,0,0.5,0,2520,0
0,90201,73,31,1,69,31,69149,1,150000,0,150000,75000,0,0,0.5,0,2190,0
0,94606,4,2,1,1,2,0,1,20505,0,10000,5000,0,0,0.5,0,120,1
0,90631,300,21,2,0,21,0,1,1240000,0,1240000,930000,1,1,0.75,0,9000,0
1,92110,84,21,1,50,50,0,1,140000,0,140000,70000,0,0,0.5,0,2520,0
1,92110,84,21,1,50,50,0,1,22964,0,10000,5000,0,0,0.5,0,2520,0
1,92544,78,2,1,2,2,0,1,100000,0,100000,85000,0,0,0.85,0,2340,1
0,92234,300,9,1,0,0,1,0,257000,0,257000,192750,0,1,0.75,0,9000,0
0,90004,84,1,2,1,1,0,1,65000,0,50000,25000,1,0,0.5,0,2520,0
0,90293,59,5,2,0,5,0,1,24046,0,20000,10000,1,0,0.5,0,1770,1
0,90303,63,2,2,0,2,0,1,5000,0,5000,2500,1,0,0.5,0,1890,1
1,92883,51,5,1,1,5,0,1,50000,0,50000,25000,0,0,0.5,0,1530,1
1,91106,54,3,1,2,3,1,2,43509,0,30000,15000,0,0,0.5,0,1620,1
1,92501,240,20,1,3,0,1,1,105000,0,105000,105000,0,1,1,0,7200,0
0,91303,44,13,1,0,13,0,1,45000,0,45000,22500,0,0,0.5,1,1320,1
1,92404,84,1,1,0,1,0,1,61483,0,45000,22500,0,0,0.5,0,2520,0
1,93433,120,7,1,0,0,1,0,140000,0,140000,105000,0,0,0.75,0,3600,0
0,94104,84,3,2,0,3,0,1,70112,0,20000,10000,1,0,0.5,0,2520,0
0,95821,61,1,1,1,2,0,1,53450,0,25000,12500,0,0,0.5,0,1830,1
0,95621,22,1,2,9,10,0,2,74432,0,40000,20000,1,0,0.5,0,660,1
1,93905,120,6,1,0,6,1,1,825000,0,825000,618750,0,0,0.75,0,3600,0
1,90004,300,7,1,0,0,1,0,720000,0,720000,540000,0,1,0.75,0,9000,0
0,94510,49,2,1,2,2,0,1,50000,0,50000,25000,0,0,0.5,0,1470,1
1,93654,60,2,1,2,2,0,1,10800,0,10800,9180,0,0,0.85,0,1800,0
0,90039,7,1,1,0,1,0,1,45000,0,45000,22500,0,0,0.5,0,210,1
1,92630,300,130,1,0,0,1,0,369000,0,369000,276750,0,1,0.75,0,9000,0
1,95603,39,1,2,0,1,0,1,62267,0,24000,12000,1,0,0.5,1,1170,1
0,92009,84,1,1,0,1,0,1,50000,0,50000,25000,0,0,0.5,0,2520,0
0,90266,84,1,1,0,1,0,1,329825,0,100000,50000,0,0,0.5,0,2520,0
0,91762,84,1,1,3,1,0,1,50000,0,50000,25000,0,0,0.5,0,2520,0
0,91789,84,5,1,0,5,1,2,98863,0,50000,25000,0,0,0.5,0,2520,0
0,91362,84,5,1,2,5,1,2,83768,0,30000,15000,0,0,0.5,0,2520,0
1,92660,44,1,1,6,1,0,1,100000,0,100000,50000,0,0,0.5,0,1320,1
1,90004,120,7,1,0,0,1,0,100000,0,100000,75000,0,0,0.75,0,3600,0
0,92026,56,3,1,2,3,0,1,74300,0,74300,37150,0,0,0.5,0,1680,1
1,94541,84,2,1,0,2,0,1,60399,0,25000,12500,0,0,0.5,0,2520,0
0,90706,120,1,2,0,0,1,0,50000,0,50000,40000,1,0,0.8,0,3600,0
0,95361,43,9,1,0,9,0,1,35000,0,20000,10000,0,0,0.5,0,1290,1
0,94089,84,1,2,1,2,0,1,12973,0,10000,5000,1,0,0.5,0,2520,0
1,91606,38,3,1,0,3,1,1,49959,0,30000,15000,0,0,0.5,0,1140,1
0,92504,58,5,1,0,5,0,1,37695,0,35000,17500,0,0,0.5,0,1740,1
0,94301,40,2,1,2,2,0,1,100000,0,100000,50000,0,0,0.5,1,1200,1
1,90010,8,4,1,0,4,0,1,209210,0,50000,25000,0,0,0.5,0,240,1
0,92653,60,7,1,1,7,0,1,40000,0,40000,20000,0,0,0.5,0,1800,0
0,95677,57,13,2,0,13,0,1,58292,0,40000,20000,1,0,0.5,0,1710,1
0,95825,51,10,1,1,10,0,1,74500,0,50000,25000,0,0,0.5,0,1530,1
0,90025,84,5,1,1,6,0,1,45736,0,25000,12500,0,0,0.5,0,2520,0
1,90063,20,12,1,3,12,0,1,84492,0,35000,17500,0,0,0.5,0,600,1
1,95128,55,2,2,0,2,0,1,12700,0,12700,6350,1,0,0.5,0,1650,1
1,95123,55,1,1,2,1,0,1,25000,0,25000,12500,0,0,0.5,0,1650,1
1,94111,84,2,2,0,2,0,1,252539,0,50000,25000,1,0,0.5,0,2520,0
1,92701,240,13,1,3,0,1,1,669000,0,669000,669000,0,1,1,0,7200,0
0,92663,48,1,1,1,2,1,1,60000,0,30000,15000,0,0,0.5,0,1440,1
1,95128,84,3,1,0,3,0,1,49310,0,25800,12900,0,0,0.5,0,2520,0
1,93060,53,2,2,2,2,0,1,35000,0,35000,17500,1,0,0.5,0,1590,1
0,91205,300,4,1,4,8,0,1,952000,0,952000,714000,0,1,0.75,0,9000,0
0,92408,46,5,1,0,5,0,1,133922,0,50000,25000,0,0,0.5,0,1380,1
0,90606,62,2,1,1,2,0,1,10500,0,10500,5250,0,0,0.5,0,1860,1
0,91360,300,10,1,0,0,1,0,500000,0,500000,375000,0,1,0.75,0,9000,0
0,90046,84,3,2,0,3,0,1,89500,0,50000,25000,1,0,0.5,0,2520,0
0,92701,43,2,1,1,2,0,1,79000,0,50000,25000,0,0,0.5,0,1290,1
0,94541,84,1,2,0,1,0,1,65000,0,65000,32500,1,0,0.5,0,2520,0
0,95212,49,1,2,0,1,0,1,7000,0,7000,3500,1,0,0.5,0,1470,1
0,92109,52,1,2,0,1,0,1,25029,0,10000,5000,1,0,0.5,0,1560,1
0,94108,84,4,1,1,4,0,1,15000,0,15000,7500,0,0,0.5,0,2520,0
1,95814,47,1,1,0,1,0,1,46723,0,25000,12500,0,0,0.5,0,1410,1
0,95831,46,7,1,0,7,0,1,85000,0,50000,25000,0,0,0.5,0,1380,1
0,95337,59,1,1,2,1,0,1,50000,0,50000,25000,0,0,0.5,0,1770,1
0,92648,53,3,1,0,3,0,1,31850,0,25000,12500,0,0,0.5,0,1590,1
1,91730,240,34,1,5,0,1,1,905000,0,905000,905000,0,1,1,0,7200,0
0,90020,84,2,1,2,2,0,1,50000,0,50000,25000,0,0,0.5,0,2520,0
1,92509,120,2,1,0,0,1,0,50000,0,50000,40000,0,0,0.8,0,3600,0
0,92336,54,4,1,1,4,15710,1,79500,0,50000,25000,0,0,0.5,0,1620,1
1,90210,72,4,2,0,4,0,1,35600,0,20000,10000,1,0,0.5,0,2160,1
0,92562,64,2,2,0,2,0,1,14880,0,10000,5000,1,0,0.5,0,1920,1
0,91773,55,4,2,0,4,0,1,9350,0,10000,5000,1,0,0.5,0,1650,0
0,91402,50,3,2,2,3,0,1,60500,0,40500,20250,1,0,0.5,0,1500,1
1,90005,21,1,1,0,1,0,1,50000,0,50000,25000,0,0,0.5,1,630,1
1,95842,50,2,1,1,3,0,1,32952,0,10000,5000,0,0,0.5,0,1500,1
0,94023,84,1,1,0,1,0,1,50000,0,25000,12500,0,0,0.5,0,2520,0
0,90041,84,1,2,0,1,0,1,29000,0,10000,5000,1,0,0.5,0,2520,0
0,91941,58,5,2,1,5,0,1,25000,0,25000,21250,1,0,0.85,0,1740,1
1,92832,59,5,2,0,5,0,1,50000,0,50000,25000,1,0,0.5,0,1770,1
1,91764,37,30,2,2,30,0,1,25000,0,25000,12500,1,0,0.5,1,1110,1
0,92688,61,1,2,0,1,0,1,77872,0,41000,20500,1,0,0.5,0,1830,1
0,91506,65,2,1,3,2,0,1,25000,0,25000,12500,0,0,0.5,0,1950,1
1,95361,84,1,1,3,1,0,1,452942,0,100000,50000,0,0,0.5,0,2520,0
0,93021,42,13,1,1,13,0,1,64500,0,45000,22500,0,0,0.5,0,1260,1
0,94124,84,2,1,0,2,0,1,123471,0,50000,25000,0,0,0.5,0,2520,0
1,90806,32,2,2,0,2,0,1,37064,0,36000,18000,1,0,0.5,1,960,1
1,93619,24,5,1,2,5,0,1,92929,0,50000,25000,0,0,0.5,1,720,1
1,91390,23,3,1,0,3,0,1,20000,0,20000,10000,0,0,0.5,1,690,1
1,92688,61,1,1,0,1,0,1,50000,0,50000,25000,0,0,0.5,0,1830,1
1,92627,240,19,1,6,19,1,1,1117000,0,1117000,1117000,0,1,1,0,7200,0
0,92833,36,1,1,0,1,0,1,14356,0,10000,5000,0,0,0.5,1,1080,1
1,90212,61,1,1,0,1,0,1,17900,0,10000,5000,0,0,0.5,0,1830,1
1,92832,60,4,2,1,4,0,1,100000,0,100000,50000,1,0,0.5,0,1800,1
0,94805,283,24,1,21,3,1,1,1067000,0,1067000,800250,0,1,0.75,0,8490,1
1,92688,56,4,1,0,4,1,2,62092,0,30000,15000,0,0,0.5,0,1680,1
0,90241,29,31,1,6,31,0,1,133736,0,50000,25000,0,0,0.5,1,870,1
0,92106,84,3,1,0,3,0,1,50000,0,50000,25000,0,0,0.5,0,2520,0
0,94574,84,2,2,0,2,0,1,181219,0,50000,25000,1,0,0.5,0,2520,0
0,92648,84,2,1,1,3,0,1,89186,0,30000,15000,0,0,0.5,0,2520,0
0,92056,84,1,1,1,2,0,1,118885,0,49000,24500,0,0,0.5,0,2520,0
0,92106,24,2,1,0,2,1,1,399602,0,200000,100000,0,0,0.5,1,720,0
0,92648,71,1,1,0,1,0,1,10000,0,10000,5000,0,0,0.5,0,2130,1
0,90249,64,5,1,3,5,0,1,25000,0,25000,12500,0,0,0.5,0,1920,1
0,90005,35,1,1,0,1,0,1,12414,0,10000,5000,0,0,0.5,1,1050,1
1,90010,55,7,1,3,7,0,1,171248,0,100000,50000,0,0,0.5,0,1650,1
0,94111,84,1,2,0,1,0,1,73000,0,63000,31500,1,0,0.5,0,2520,0
1,93140,48,3,1,0,3,0,1,15100,0,10000,5000,0,0,0.5,0,1440,1
1,90274,84,1,1,0,1,0,1,89313,0,45000,22500,0,0,0.5,0,2520,0
1,94536,61,38,1,0,38,0,1,98493,0,50000,25000,0,0,0.5,0,1830,1
0,94577,120,1,2,0,0,1,0,100000,0,100000,80000,1,0,0.8,1,3600,0
0,91733,5,1,2,0,1,0,1,14121,0,10000,5000,1,0,0.5,0,150,0
1,92110,9,4,1,2,4,0,1,25000,0,25000,21250,0,0,0.85,0,270,1
0,94070,22,1,1,0,1,0,1,23037,0,15000,7500,0,0,0.5,1,660,1
1,94133,84,1,1,0,1,0,1,25000,0,25000,12500,0,0,0.5,0,2520,0
0,91208,52,1,2,0,1,0,1,30000,0,30000,15000,1,0,0.5,0,1560,1
1,91208,300,8,1,4,4,1,1,990000,0,990000,742500,0,1,0.75,0,9000,0
0,95928,68,3,1,0,3,0,1,25000,0,25000,12500,0,0,0.5,0,2040,1
1,95826,84,1,1,1,1,0,1,25000,0,25000,12500,0,0,0.5,0,2520,0
1,95540,120,1,1,0,0,1,0,105000,0,105000,78750,0,0,0.75,1,3600,0
0,94545,120,15,1,0,15,0,1,1525000,0,1525000,1143750,0,0,0.75,0,3600,0
0,93219,84,2,1,1,2,0,2,50000,0,50000,42500,0,0,0.85,0,2520,0
0,92592,120,3,2,2,5,0,1,278400,0,278400,208800,1,0,0.75,0,3600,0
1,94403,35,4,1,0,4,1,1,26582,0,10000,5000,0,0,0.5,1,1050,1
1,90265,84,2,2,0,2,1,2,10000,0,10000,5000,1,0,0.5,0,2520,0
0,91745,50,5,1,1,5,1,1,100000,0,100000,50000,0,0,0.5,0,1500,1
1,91786,84,3,2,0,3,1,1,62000,0,62000,31000,1,0,0.5,0,2520,0
0,96013,120,150,1,0,0,0,2,2000000,0,2000000,1500000,0,0,0.75,0,3600,0
0,92024,63,14,1,6,14,0,1,50000,0,50000,25000,0,0,0.5,0,1890,1
1,94513,51,5,2,0,5,0,1,39384,0,25000,12500,1,0,0.5,0,1530,1
0,95354,44,2,1,3,2,0,1,60057,0,25000,12500,0,0,0.5,0,1320,1
0,95926,84,2,1,3,2,0,1,15000,0,15000,7500,0,0,0.5,0,2520,0
0,91340,45,4,2,0,4,0,1,21689,0,10000,5000,1,0,0.5,0,1350,1
0,94403,45,4,1,0,4,0,1,70015,0,50000,25000,0,0,0.5,0,1350,1
0,94117,84,8,1,3,11,0,1,110174,0,50000,25000,0,0,0.5,0,2520,0
1,92614,37,10,1,3,10,0,1,160000,0,100000,50000,0,0,0.5,0,1110,1
0,93291,69,1,2,4,5,0,1,184101,0,360000,270000,1,0,0.75,0,2070,0
1,93292,32,1,2,4,5,0,1,100000,0,100000,85000,1,0,0.85,1,960,0
0,90703,2,4,1,2,4,1,1,92900,0,40000,20000,0,0,0.5,0,60,1
1,92025,62,1,1,0,1,0,1,50000,0,50000,25000,0,0,0.5,0,1860,1
1,92010,84,1,1,0,1,1,1,109842,0,30000,15000,0,0,0.5,0,2520,0
1,94534,24,12,1,0,12,0,1,77200,0,35000,17500,0,0,0.5,1,720,1
0,93021,58,2,1,1,2,0,1,50000,0,50000,25000,0,0,0.5,0,1740,1
0,90720,84,2,1,0,2,0,1,164554,0,50000,25000,0,0,0.5,0,2520,0
0,91316,51,12,1,3,12,0,1,50000,0,50000,25000,0,0,0.5,0,1530,1
1,91784,84,4,1,2,4,0,1,25000,0,25000,12500,0,0,0.5,0,2520,0
0,95363,38,3,1,0,3,0,1,18063,0,10000,5000,0,0,0.5,0,1140,1
0,95054,50,2,1,0,2,0,1,55000,0,35000,17500,0,0,0.5,0,1500,1
1,95128,84,1,1,0,1,0,1,20000,0,10000,5000,0,0,0.5,0,2520,0
1,95023,55,10,1,0,10,0,1,64000,0,35000,17500,0,0,0.5,0,1650,1
1,93711,58,13,1,1,13,0,1,159500,0,100000,50000,0,0,0.5,0,1740,1
1,91941,54,1,1,0,1,1,1,165193,0,50000,25000,0,0,0.5,0,1620,1
1,95758,64,2,1,0,2,0,1,105000,0,35000,17500,0,0,0.5,0,1920,1
0,93702,84,1,1,1,1,0,1,5000,0,5000,2500,0,0,0.5,0,2520,0
1,94044,84,1,1,0,1,0,1,10000,0,10000,5000,0,0,0.5,0,2520,0
1,92544,120,23,1,0,23,1357,1,1000000,0,1000000,750000,0,0,0.75,0,3600,0
0,90680,84,2,1,0,2,0,1,25000,0,25000,12500,0,0,0.5,0,2520,0
0,90680,84,2,1,0,2,0,1,25015,0,25000,12500,0,0,0.5,0,2520,0
1,95624,64,2,2,0,2,0,1,10000,0,10000,5000,1,0,0.5,0,1920,1
0,93612,120,1,2,5,6,0,1,320000,0,320000,240000,1,0,0.75,0,3600,0
0,94523,59,2,1,1,3,0,1,33967,0,20000,10000,0,0,0.5,0,1770,1
1,94303,23,3,1,3,3,0,1,84349,0,35000,17500,0,0,0.5,1,690,1
0,90212,84,6,2,10,6,0,1,5000,0,5000,2500,1,0,0.5,0,2520,0
1,95816,60,2,1,2,4,0,1,28000,0,28000,14000,0,0,0.5,0,1800,0
0,94070,84,1,1,0,1,0,1,263954,0,40000,20000,0,0,0.5,0,2520,0
0,95401,240,1,1,9,0,1,1,454000,0,454000,454000,0,1,1,0,7200,0
0,94928,65,1,1,2,1,0,1,40000,0,35000,17500,0,0,0.5,0,1950,1
1,95678,84,2,1,1,3,0,1,11975,0,10000,5000,0,0,0.5,0,2520,0
0,90804,84,3,2,0,3,0,2,5000,0,5000,2500,1,0,0.5,0,2520,0
0,91304,84,1,1,0,1,1,1,89947,0,35000,17500,0,0,0.5,0,2520,0
1,90036,90,2,1,1,1,1,1,125000,0,125000,106250,0,0,0.85,0,2700,0
0,90071,51,7,1,0,7,0,1,75000,0,35000,17500,0,0,0.5,0,1530,1
1,94129,42,13,1,0,13,0,1,64000,0,35000,17500,0,0,0.5,0,1260,1
1,91342,44,1,2,0,1,1,1,9500,0,5500,2750,1,0,0.5,0,1320,1
0,95451,240,35,1,10,0,18000,1,161000,0,167000,167000,0,1,1,0,7200,0
1,90505,109,6,1,0,0,1,0,808600,0,970000,727500,0,0,0.75,0,3270,0
1,93257,300,2,2,2,2,0,2,76500,0,76500,65025,1,1,0.85,0,9000,0
1,93257,84,2,2,2,2,0,2,12500,0,12500,10625,1,0,0.85,0,2520,0
1,93257,60,2,2,2,2,0,2,10000,0,10000,8500,1,0,0.85,0,1800,0
0,94585,240,9,1,2,0,1,1,404000,0,404000,404000,0,1,1,0,7200,0
0,92103,55,3,1,0,3,0,1,58000,0,35000,17500,0,0,0.5,0,1650,1
0,91607,43,2,1,0,2,0,1,15000,0,10000,5000,0,0,0.5,0,1290,1
1,91355,84,7,1,0,7,0,1,15000,0,15000,7500,0,0,0.5,0,2520,0
